query,video_id,published_at,channel_id,title,description,channel_title,video_url,election_panel
le pen,quGHmt1PIQg,2022-04-08T08:44:03Z,UCc282c_TN8xIba_Z6GaDnQw,Nie ma różnicy między Le Pen a Macronem w podejściu do Rosji | Polska na dzień dobry 2/5,http://bit.ly/Subskrybuj_TV_Republika - subskrybuj nasz kanał i oglądaj codziennie wiadomości z Polski i ze Świata oraz ...,Telewizja Republika,https://www.youtube.com/watch?v=quGHmt1PIQg,False
le pen,L6Pmlt6syNg,2022-04-08T05:25:04Z,UCwd8Byi93KbnsYmCcKLExvQ,Le Pen acusa a Alemania de convertir a Europa en dependiente de la energía rusa,"En una entrevista en la RTL, la ultraconservadora Marine Le Pen, ha acusado a Alemania de convertir a Europa en dependiente ...",Negocios TV,https://www.youtube.com/watch?v=L6Pmlt6syNg,False
le pen,XfAHdiXvphA,2022-04-08T04:36:26Z,UCgGb7tN3tIH5_Kk05D1J_bA,Présidentielle : Emmanuel Macron s&#39;attaque à Marine Le Pen,"Dans un dernier sondage BVA, il n'y a plus que trois points d'écart entre Emmanuel Macron et Marine Le Pen. Dans une interview ...",RMC,https://www.youtube.com/watch?v=XfAHdiXvphA,True
le pen,b6zWbQmNUlM,2022-04-07T21:06:55Z,UCXwDLMDV86ldKoFVc_g8P0g,Les meetings de Marine Le Pen et d&#39;Éric Zemmour à Paris en intégralité,Philippe Corbé et Amandine Atalaya décryptent en direct les derniers meetings des candidats à la présidentielle.,BFMTV,https://www.youtube.com/watch?v=b6zWbQmNUlM,True
le pen,6SJokHVyBms,2022-04-07T21:00:16Z,UCvKaCKM0F5NE8K88bKcyklQ,Le Pen knappar in på Macron inför det franska presidentvalet | TV4Nyheterna | TV4 &amp; TV4 Play,"Inför den första omgången i det franska presidentvalet, knappar Nationell samlings Marine Le Pen in på president Emmanuel ...",TV4 Nyheterna,https://www.youtube.com/watch?v=6SJokHVyBms,True
le pen,up0BtJ_XUJo,2022-04-07T20:50:13Z,UCCCPCZNChQdGa9EkATeye4g,"En meeting à Perpignan, Marine Le Pen appelle au vote pour faire &quot;gagner le peuple&quot; • FRANCE 24","La candidate du Rassemblement national a tenu son dernier meeting jeudi soir à Perpignan où elle a appelé ""le peuple"", et en ...",FRANCE 24,https://www.youtube.com/watch?v=up0BtJ_XUJo,True
le pen,cFuaBkjWwh0,2022-04-07T18:25:01Z,UC0vn8ISa4LKMunLbzaXLnOQ,Marine Le Pen President: &#39;This will shake European politics and the EU to its core’,"'If Marine Le Pen is elected as French President, this will shake European politics and the EU to its core' Former Brexit Party MEP, ...",GBNews,https://www.youtube.com/watch?v=cFuaBkjWwh0,True
le pen,YhSwHAGgbZI,2022-04-07T18:02:34Z,UCejTWYquMXD_MFHRZiqo_Aw,"L’encombrant soutien de Marine Le Pen à Poutine, avec Caroline Fourest - C à vous - 07/04/2022",C à vous https://bit.ly/CaVousReplay C à vous la suite https://bit.ly/ReplayCaVousLaSuite — Abonnez-vous à la chaîne ...,C à vous,https://www.youtube.com/watch?v=YhSwHAGgbZI,True
le pen,uS-lC5IeCUQ,2022-04-07T17:55:53Z,UCU3z3px1_RCqYBwrs8LJVWg,Meeting de Marine Le Pen à Perpignan | M la France,"Suivez en direct le discours de Marine Le Pen à Perpignan, le dernier avant le premier tour de l'élection présidentielle. Dimanche ...",Marine Le Pen,https://www.youtube.com/watch?v=uS-lC5IeCUQ,True
le pen,b2zw5buS1z0,2022-04-07T16:18:40Z,UCwd8Byi93KbnsYmCcKLExvQ,Marine Le Pen: &quot;Fue Alemania la que nos hizo dependienres del gas ruso. Saldré del mercado europeo&quot;,"Marine Le Pen: ""Fue Alemania la que nos hizo dependienres del gas ruso. Saldré del mercado europeo eléctrico"" Nos llega una ...",Negocios TV,https://www.youtube.com/watch?v=b2zw5buS1z0,True
le pen,8xxYm7-CeqQ,2022-04-07T16:02:34Z,UCcPcua2PF7hzik2TeOBx3uw,Wahl in Frankreich: „Le Pen wäre Vollbremsung für Europa“ - FAZ Podcast für Deutschland,"An diesem Sonntag wird in Frankreich gewählt. Der klare Vorsprung von Präsident Emmanuel Macron in den Umfragen ist dahin, ...",faz,https://www.youtube.com/watch?v=8xxYm7-CeqQ,True
